Date,Open,High,Low,Close,Adj Close,Volume
9/9/2019,0.263247,0.263694,0.257643,0.259562,0.259562,1157441363
9/10/2019,0.25969,0.263649,0.256105,0.258671,0.258671,975503111
9/11/2019,0.258692,0.259832,0.253401,0.255956,0.255956,992565704
9/12/2019,0.255973,0.257015,0.252555,0.254811,0.254811,974717877
9/13/2019,0.254795,0.256326,0.253137,0.255551,0.255551,869481607
9/14/2019,0.255485,0.264492,0.254848,0.261167,0.261167,1005057194
9/15/2019,0.26117,0.264858,0.259714,0.261628,0.261628,859761210
9/16/2019,0.261574,0.263923,0.259181,0.260952,0.260952,878264190
9/17/2019,0.260862,0.294556,0.260308,0.285013,0.285013,1981364786
9/18/2019,0.284163,0.322034,0.283921,0.313776,0.313776,2548478917
9/19/2019,0.31374,0.313814,0.287051,0.302441,0.302441,2314376584
9/20/2019,0.302455,0.302455,0.288729,0.29447,0.29447,1558069366
9/21/2019,0.294456,0.297573,0.287775,0.289443,0.289443,1266771269
9/22/2019,0.28946,0.289673,0.274316,0.278931,0.278931,1242282758
9/23/2019,0.278602,0.286114,0.268575,0.268675,0.268675,1484938724
9/24/2019,0.268686,0.272868,0.227052,0.235226,0.235226,2114210733
9/25/2019,0.235483,0.248962,0.234906,0.246441,0.246441,1800796894
9/26/2019,0.246448,0.250457,0.234037,0.243784,0.243784,1387714462
9/27/2019,0.243712,0.246306,0.236745,0.244021,0.244021,1277746422
9/28/2019,0.244023,0.245047,0.240754,0.242571,0.242571,978211509
9/29/2019,0.242592,0.243348,0.237544,0.241388,0.241388,931369885
